类别,中文名,英文名,模块,来源,引用次数,官方定义链接
CAD（设计 / 建模 / 制图）,标注占位符实例,Annotation_placeholder_occurrence,dimension_and_tolerance_callouts,ap242,1,https://www.steptools.com/stds/smrl/data/modules/dimension_and_tolerance_callouts/sys/4_info_reqs.htm#dimension_and_tolerance_callouts_arm.annotation_placeholder_occurrence
CAD（设计 / 建模 / 制图）,标注平面,Annotation_plane,draughting_element,ap242,0,https://www.steptools.com/stds/smrl/data/modules/draughting_element/sys/4_info_reqs.htm#draughting_element_arm.annotation_plane
CAD（设计 / 建模 / 制图）,标注子图,Annotation_subfigure,draughting_annotation,ap242,1,https://www.steptools.com/stds/smrl/data/modules/draughting_annotation/sys/4_info_reqs.htm#draughting_annotation_arm.annotation_subfigure
CAD（设计 / 建模 / 制图）,标注符号,Annotation_symbol,draughting_annotation,ap242,1,https://www.steptools.com/stds/smrl/data/modules/draughting_annotation/sys/4_info_reqs.htm#draughting_annotation_arm.annotation_symbol
CAD（设计 / 建模 / 制图）,标注文本,Annotation_text,associative_text,ap242,3,https://www.steptools.com/stds/smrl/data/modules/associative_text/sys/4_info_reqs.htm#associative_text_arm.annotation_text
CAD（设计 / 建模 / 制图）,标注文本实例,Annotation_text_occurrence,associative_text,ap242,2,https://www.steptools.com/stds/smrl/data/modules/associative_text/sys/4_info_reqs.htm#associative_text_arm.annotation_text_occurrence
CAD（设计 / 建模 / 制图）,顶点,Apex,derived_shape_element,ap242,0,https://www.steptools.com/stds/smrl/data/modules/derived_shape_element/sys/4_info_reqs.htm#derived_shape_element_arm.apex
CAD（设计 / 建模 / 制图）,外观赋值,Appearance_assignment,appearance_assignment,ap242,1,https://www.steptools.com/stds/smrl/data/modules/appearance_assignment/sys/4_info_reqs.htm#appearance_assignment_arm.appearance_assignment
CAD（设计 / 建模 / 制图）,应用独立材料属性,Applied_independent_material_property,generic_material_aspects,ap242,0,https://www.steptools.com/stds/smrl/data/modules/generic_material_aspects/sys/4_info_reqs.htm#generic_material_aspects_arm.applied_independent_material_property
CAD（设计 / 建模 / 制图）,面积数据元素,Area_data_element,value_with_unit_extension,ap242,0,https://www.steptools.com/stds/smrl/data/modules/value_with_unit_extension/sys/4_info_reqs.htm#value_with_unit_extension_arm.area_data_element
CAD（设计 / 建模 / 制图）,面积单位,Area_unit,value_with_unit,ap242,0,https://www.steptools.com/stds/smrl/data/modules/value_with_unit/sys/4_info_reqs.htm#value_with_unit_arm.area_unit
CAD（设计 / 建模 / 制图）,反正弦函数,Asin_function,elementary_function,ap242,0,https://www.steptools.com/stds/smrl/data/modules/elementary_function/sys/4_info_reqs.htm#elementary_function_arm.asin_function
CAD（设计 / 建模 / 制图）,装配关系替换,Assembly_relationship_substitution,product_replacement,ap242,1,https://www.steptools.com/stds/smrl/data/modules/product_replacement/sys/4_info_reqs.htm#product_replacement_arm.assembly_relationship_substitution
CAD（设计 / 建模 / 制图）,赋值形状属性,Assigned_shape_property,shape_property_assignment,ap242,0,https://www.steptools.com/stds/smrl/data/modules/shape_property_assignment/sys/4_info_reqs.htm#shape_property_assignment_arm.assigned_shape_property
CAD（设计 / 建模 / 制图）,关联尺寸文本,Associated_dimension_text,dimension_and_tolerance_callouts,ap242,0,https://www.steptools.com/stds/smrl/data/modules/dimension_and_tolerance_callouts/sys/4_info_reqs.htm#dimension_and_tolerance_callouts_arm.associated_dimension_text
CAD（设计 / 建模 / 制图）,反正切函数,Atan_function,elementary_function,ap242,0,https://www.steptools.com/stds/smrl/data/modules/elementary_function/sys/4_info_reqs.htm#elementary_function_arm.atan_function
CAD（设计 / 建模 / 制图）,属性分类,Attribute_classification,attribute_classification,ap242,0,https://www.steptools.com/stds/smrl/data/modules/attribute_classification/sys/4_info_reqs.htm#attribute_classification_arm.attribute_classification
CAD（设计 / 建模 / 制图）,属性平移赋值,Attribute_translation_assignment,multi_linguism,ap242,0,https://www.steptools.com/stds/smrl/data/modules/multi_linguism/sys/4_info_reqs.htm#multi_linguism_arm.attribute_translation_assignment
CAD（设计 / 建模 / 制图）,轴1放置,Axis1_placement,elemental_geometric_shape,ap242,0,https://www.steptools.com/stds/smrl/data/modules/elemental_geometric_shape/sys/4_info_reqs.htm#elemental_geometric_shape_arm.axis1_placement
CAD（设计 / 建模 / 制图）,轴放置,Axis_placement,elemental_geometric_shape,ap242,26,https://www.steptools.com/stds/smrl/data/modules/elemental_geometric_shape/sys/4_info_reqs.htm#elemental_geometric_shape_arm.axis_placement
CAD（设计 / 建模 / 制图）,轴放置二维,Axis_placement_2d,elemental_geometric_shape,ap242,2,https://www.steptools.com/stds/smrl/data/modules/elemental_geometric_shape/sys/4_info_reqs.htm#elemental_geometric_shape_arm.axis_placement_2d
CAD（设计 / 建模 / 制图）,三维轴系布置,Axis_placement_3d,elemental_geometric_shape,ap242,27,https://www.steptools.com/stds/smrl/data/modules/elemental_geometric_shape/sys/4_info_reqs.htm#elemental_geometric_shape_arm.axis_placement_3d
CAD（设计 / 建模 / 制图）,轴放置映射,Axis_placement_mapping,contextual_shape_positioning,ap242,0,https://www.steptools.com/stds/smrl/data/modules/contextual_shape_positioning/sys/4_info_reqs.htm#contextual_shape_positioning_arm.axis_placement_mapping
CAD（设计 / 建模 / 制图）,轴放置形状元素,Axis_placement_shape_element,datum_and_datum_systems,ap242,3,https://www.steptools.com/stds/smrl/data/modules/datum_and_datum_systems/sys/4_info_reqs.htm#datum_and_datum_systems_arm.axis_placement_shape_element
CAD（设计 / 建模 / 制图）,B样条曲线,B_spline_curve,b_spline_geometry,ap242,0,https://www.steptools.com/stds/smrl/data/modules/b_spline_geometry/sys/4_info_reqs.htm#b_spline_geometry_arm.b_spline_curve
CAD（设计 / 建模 / 制图）,B样条曲面,B_spline_surface,b_spline_geometry,ap242,0,https://www.steptools.com/stds/smrl/data/modules/b_spline_geometry/sys/4_info_reqs.htm#b_spline_geometry_arm.b_spline_surface
CAD（设计 / 建模 / 制图）,基本圆孔,Basic_round_hole,mechanical_design_features_and_requirements,ap242,1,https://www.steptools.com/stds/smrl/data/modules/mechanical_design_features_and_requirements/sys/4_info_reqs.htm#mechanical_design_features_and_requirements_arm.basic_round_hole
CAD（设计 / 建模 / 制图）,基本圆孔实例,Basic_round_hole_occurrence,mechanical_design_features_and_requirements,ap242,0,https://www.steptools.com/stds/smrl/data/modules/mechanical_design_features_and_requirements/sys/4_info_reqs.htm#mechanical_design_features_and_requirements_arm.basic_round_hole_occurrence
CAD（设计 / 建模 / 制图）,基本圆孔实例在装配,Basic_round_hole_occurrence_in_assembly,mechanical_design_features_and_requirements,ap242,0,https://www.steptools.com/stds/smrl/data/modules/mechanical_design_features_and_requirements/sys/4_info_reqs.htm#mechanical_design_features_and_requirements_arm.basic_round_hole_occurrence_in_assembly
CAD（设计 / 建模 / 制图）,介于形状元素,Between_shape_element,geometric_tolerance,ap242,0,https://www.steptools.com/stds/smrl/data/modules/geometric_tolerance/sys/4_info_reqs.htm#geometric_tolerance_arm.between_shape_element
CAD（设计 / 建模 / 制图）,锥齿轮,Bevel_gear,machining_features,ap242,0,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.bevel_gear
CAD（设计 / 建模 / 制图）,二进制布尔表达式,Binary_boolean_expression,numeric_expression,ap242,1,https://www.steptools.com/stds/smrl/data/modules/numeric_expression/sys/4_info_reqs.htm#numeric_expression_arm.binary_boolean_expression
CAD（设计 / 建模 / 制图）,二元函数调用,Binary_function_call,elementary_function,ap242,0,https://www.steptools.com/stds/smrl/data/modules/elementary_function/sys/4_info_reqs.htm#elementary_function_arm.binary_function_call
CAD（设计 / 建模 / 制图）,二元通用表达式,Binary_generic_expression,generic_expression,ap242,0,https://www.steptools.com/stds/smrl/data/modules/generic_expression/sys/4_info_reqs.htm#generic_expression_arm.binary_generic_expression
CAD（设计 / 建模 / 制图）,二元数值表达式,Binary_numeric_expression,numeric_expression,ap242,1,https://www.steptools.com/stds/smrl/data/modules/numeric_expression/sys/4_info_reqs.htm#numeric_expression_arm.binary_numeric_expression
CAD（设计 / 建模 / 制图）,盲孔底部条件,Blind_bottom_condition,machining_features,ap242,0,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.blind_bottom_condition
CAD（设计 / 建模 / 制图）,布尔定义函数,Boolean_defined_function,numeric_expression,ap242,0,https://www.steptools.com/stds/smrl/data/modules/numeric_expression/sys/4_info_reqs.htm#numeric_expression_arm.boolean_defined_function
CAD（设计 / 建模 / 制图）,布尔表达式,Boolean_expression,numeric_expression,ap242,2,https://www.steptools.com/stds/smrl/data/modules/numeric_expression/sys/4_info_reqs.htm#numeric_expression_arm.boolean_expression
CAD（设计 / 建模 / 制图）,布尔字面量,Boolean_literal,numeric_expression,ap242,0,https://www.steptools.com/stds/smrl/data/modules/numeric_expression/sys/4_info_reqs.htm#numeric_expression_arm.boolean_literal
CAD（设计 / 建模 / 制图）,布尔表示项,Boolean_representation_item,basic_data_representation,ap242,0,https://www.steptools.com/stds/smrl/data/modules/basic_data_representation/sys/4_info_reqs.htm#basic_data_representation_arm.boolean_representation_item
CAD（设计 / 建模 / 制图）,布尔结果,Boolean_result,primitive_solids,ap242,0,https://www.steptools.com/stds/smrl/data/modules/primitive_solids/sys/4_info_reqs.htm#primitive_solids_arm.boolean_result
CAD（设计 / 建模 / 制图）,布尔变量,Boolean_variable,numeric_expression,ap242,1,https://www.steptools.com/stds/smrl/data/modules/numeric_expression/sys/4_info_reqs.htm#numeric_expression_arm.boolean_variable
CAD（设计 / 建模 / 制图）,凸台,Boss,machining_features,ap242,1,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.boss
CAD（设计 / 建模 / 制图）,凸台顶部条件,Boss_top_condition,machining_features,ap242,0,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.boss_top_condition
CAD（设计 / 建模 / 制图）,边界曲线,Boundary_curve,geometrically_bounded_surface,ap242,1,https://www.steptools.com/stds/smrl/data/modules/geometrically_bounded_surface/sys/4_info_reqs.htm#geometrically_bounded_surface_arm.boundary_curve
CAD（设计 / 建模 / 制图）,边界曲线外观,Boundary_curve_appearance,general_surface_appearance,ap242,0,https://www.steptools.com/stds/smrl/data/modules/general_surface_appearance/sys/4_info_reqs.htm#general_surface_appearance_arm.boundary_curve_appearance
CAD（设计 / 建模 / 制图）,有界曲线,Bounded_curve,basic_geometry,ap242,15,https://www.steptools.com/stds/smrl/data/modules/basic_geometry/sys/4_info_reqs.htm#basic_geometry_arm.bounded_curve
CAD（设计 / 建模 / 制图）,有界曲面,Bounded_surface,basic_geometry,ap242,1,https://www.steptools.com/stds/smrl/data/modules/basic_geometry/sys/4_info_reqs.htm#basic_geometry_arm.bounded_surface
CAD（设计 / 建模 / 制图）,盒域,Box_domain,primitive_solids,ap242,0,https://www.steptools.com/stds/smrl/data/modules/primitive_solids/sys/4_info_reqs.htm#primitive_solids_arm.box_domain
CAD（设计 / 建模 / 制图）,盒式半空间,Boxed_half_space,primitive_solids,ap242,0,https://www.steptools.com/stds/smrl/data/modules/primitive_solids/sys/4_info_reqs.htm#primitive_solids_arm.boxed_half_space
CAD（设计 / 建模 / 制图）,分解上下文,Breakdown_context,product_breakdown,ap242,0,https://www.steptools.com/stds/smrl/data/modules/product_breakdown/sys/4_info_reqs.htm#product_breakdown_arm.breakdown_context
CAD（设计 / 建模 / 制图）,相机模型D3,Camera_model_d3,camera_view_3d,ap242,1,https://www.steptools.com/stds/smrl/data/modules/camera_view_3d/sys/4_info_reqs.htm#camera_view_3d_arm.camera_model_d3
CAD（设计 / 建模 / 制图）,电容数据元素,Capacitance_data_element,value_with_unit_extension,ap242,0,https://www.steptools.com/stds/smrl/data/modules/value_with_unit_extension/sys/4_info_reqs.htm#value_with_unit_extension_arm.capacitance_data_element
CAD（设计 / 建模 / 制图）,笛卡儿点,Cartesian_point,elemental_geometric_shape,ap242,21,https://www.steptools.com/stds/smrl/data/modules/elemental_geometric_shape/sys/4_info_reqs.htm#elemental_geometric_shape_arm.cartesian_point
CAD（设计 / 建模 / 制图）,笛卡儿变换二维,Cartesian_transformation_2d,elemental_geometric_shape,ap242,1,https://www.steptools.com/stds/smrl/data/modules/elemental_geometric_shape/sys/4_info_reqs.htm#elemental_geometric_shape_arm.cartesian_transformation_2d
CAD（设计 / 建模 / 制图）,笛卡儿变换三维,Cartesian_transformation_3d,elemental_geometric_shape,ap242,1,https://www.steptools.com/stds/smrl/data/modules/elemental_geometric_shape/sys/4_info_reqs.htm#elemental_geometric_shape_arm.cartesian_transformation_3d
CAD（设计 / 建模 / 制图）,标准齿轮,Catalogue_gear,machining_features,ap242,0,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.catalogue_gear
CAD（设计 / 建模 / 制图）,标准滚花,Catalogue_knurl,machining_features,ap242,0,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.catalogue_knurl
CAD（设计 / 建模 / 制图）,标准标记,Catalogue_marking,machining_features,ap242,0,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.catalogue_marking
CAD（设计 / 建模 / 制图）,标准螺纹,Catalogue_thread,machining_features,ap242,0,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.catalogue_thread
CAD（设计 / 建模 / 制图）,摄氏度温度数据元素,Celsius_temperature_data_element,value_with_unit_extension,ap242,0,https://www.steptools.com/stds/smrl/data/modules/value_with_unit_extension/sys/4_info_reqs.htm#value_with_unit_extension_arm.celsius_temperature_data_element
CAD（设计 / 建模 / 制图）,中心轴,Centre_axis,derived_shape_element,ap242,0,https://www.steptools.com/stds/smrl/data/modules/derived_shape_element/sys/4_info_reqs.htm#derived_shape_element_arm.centre_axis
CAD（设计 / 建模 / 制图）,中心的对称度,Centre_of_symmetry,derived_shape_element,ap242,0,https://www.steptools.com/stds/smrl/data/modules/derived_shape_element/sys/4_info_reqs.htm#derived_shape_element_arm.centre_of_symmetry
CAD（设计 / 建模 / 制图）,中心平面,Centre_plane,derived_shape_element,ap242,0,https://www.steptools.com/stds/smrl/data/modules/derived_shape_element/sys/4_info_reqs.htm#derived_shape_element_arm.centre_plane
CAD（设计 / 建模 / 制图）,中心点,Centre_point,derived_shape_element,ap242,0,https://www.steptools.com/stds/smrl/data/modules/derived_shape_element/sys/4_info_reqs.htm#derived_shape_element_arm.centre_point
CAD（设计 / 建模 / 制图）,倒角,Chamfer,machining_features,ap242,0,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.chamfer
CAD（设计 / 建模 / 制图）,倒角角,Chamfer_angle,machining_features,ap242,0,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.chamfer_angle
CAD（设计 / 建模 / 制图）,特征数据列头,Characteristic_data_column_header,characteristic,ap242,0,https://www.steptools.com/stds/smrl/data/modules/characteristic/sys/4_info_reqs.htm#characteristic_arm.characteristic_data_column_header
CAD（设计 / 建模 / 制图）,特征数据列头链接,Characteristic_data_column_header_link,characteristic,ap242,0,https://www.steptools.com/stds/smrl/data/modules/characteristic/sys/4_info_reqs.htm#characteristic_arm.characteristic_data_column_header_link
CAD（设计 / 建模 / 制图）,特征数据表,Characteristic_data_table,characteristic,ap242,0,https://www.steptools.com/stds/smrl/data/modules/characteristic/sys/4_info_reqs.htm#characteristic_arm.characteristic_data_table
CAD（设计 / 建模 / 制图）,特征数据表头,Characteristic_data_table_header,characteristic,ap242,0,https://www.steptools.com/stds/smrl/data/modules/characteristic/sys/4_info_reqs.htm#characteristic_arm.characteristic_data_table_header
CAD（设计 / 建模 / 制图）,特征数据表头分解,Characteristic_data_table_header_decomposition,characteristic,ap242,2,https://www.steptools.com/stds/smrl/data/modules/characteristic/sys/4_info_reqs.htm#characteristic_arm.characteristic_data_table_header_decomposition
CAD（设计 / 建模 / 制图）,特征数据表头用法,Characteristic_data_table_header_usage,characteristic,ap242,1,https://www.steptools.com/stds/smrl/data/modules/characteristic/sys/4_info_reqs.htm#characteristic_arm.characteristic_data_table_header_usage
CAD（设计 / 建模 / 制图）,特征数据表表示,Characteristic_data_table_representation,characteristic,ap242,0,https://www.steptools.com/stds/smrl/data/modules/characteristic/sys/4_info_reqs.htm#characteristic_arm.characteristic_data_table_representation
CAD（设计 / 建模 / 制图）,特征数据表行,Characteristic_data_table_row,characteristic,ap242,0,https://www.steptools.com/stds/smrl/data/modules/characteristic/sys/4_info_reqs.htm#characteristic_arm.characteristic_data_table_row
CAD（设计 / 建模 / 制图）,特征化链基于项之内表示,Characterized_chain_based_item_within_representation,characterized_representation,ap242,0,https://www.steptools.com/stds/smrl/data/modules/characterized_representation/sys/4_info_reqs.htm#characterized_representation_arm.characterized_chain_based_item_within_representation
CAD（设计 / 建模 / 制图）,特征化项之内表示,Characterized_item_within_representation,characterized_representation,ap242,1,https://www.steptools.com/stds/smrl/data/modules/characterized_representation/sys/4_info_reqs.htm#characterized_representation_arm.characterized_item_within_representation
CAD（设计 / 建模 / 制图）,特征化表示,Characterized_representation,characterized_representation,ap242,2,https://www.steptools.com/stds/smrl/data/modules/characterized_representation/sys/4_info_reqs.htm#characterized_representation_arm.characterized_representation
CAD（设计 / 建模 / 制图）,圆,Circle,basic_geometry,ap242,0,https://www.steptools.com/stds/smrl/data/modules/basic_geometry/sys/4_info_reqs.htm#basic_geometry_arm.circle
CAD（设计 / 建模 / 制图）,圆形凸台,Circular_boss,machining_features,ap242,0,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.circular_boss
CAD（设计 / 建模 / 制图）,圆形闭合轮廓,Circular_closed_profile,machining_features,ap242,4,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.circular_closed_profile
CAD（设计 / 建模 / 制图）,圆形闭合形状轮廓,Circular_closed_shape_profile,machining_features,ap242,0,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.circular_closed_shape_profile
CAD（设计 / 建模 / 制图）,圆形圆锥,Circular_cone,primitive_solids,ap242,0,https://www.steptools.com/stds/smrl/data/modules/primitive_solids/sys/4_info_reqs.htm#primitive_solids_arm.circular_cone
CAD（设计 / 建模 / 制图）,圆形切口,Circular_cutout,machining_features,ap242,0,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.circular_cutout
CAD（设计 / 建模 / 制图）,圆形圆柱,Circular_cylinder,primitive_solids,ap242,1,https://www.steptools.com/stds/smrl/data/modules/primitive_solids/sys/4_info_reqs.htm#primitive_solids_arm.circular_cylinder
CAD（设计 / 建模 / 制图）,圆形偏置阵列,Circular_offset_pattern,machining_features,ap242,0,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.circular_offset_pattern
CAD（设计 / 建模 / 制图）,圆形省略阵列,Circular_omit_pattern,machining_features,ap242,0,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.circular_omit_pattern
CAD（设计 / 建模 / 制图）,圆形路径,Circular_path,kinematic_motion_representation,ap242,0,https://www.steptools.com/stds/smrl/data/modules/kinematic_motion_representation/sys/4_info_reqs.htm#kinematic_motion_representation_arm.circular_path
CAD（设计 / 建模 / 制图）,圆形路径特征组件,Circular_path_feature_component,machining_features,ap242,0,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.circular_path_feature_component
CAD（设计 / 建模 / 制图）,圆形阵列,Circular_pattern,machining_features,ap242,0,https://www.steptools.com/stds/smrl/data/modules/machining_features/sys/4_info_reqs.htm#machining_features_arm.circular_pattern
CAD（设计 / 建模 / 制图）,圆形跳动公差,Circular_runout_tolerance,geometric_tolerance,ap242,0,https://www.steptools.com/stds/smrl/data/modules/geometric_tolerance/sys/4_info_reqs.htm#geometric_tolerance_arm.circular_runout_tolerance
CAD（设计 / 建模 / 制图）,类层次,Class_hierarchy,classification_with_attributes,ap242,0,https://www.steptools.com/stds/smrl/data/modules/classification_with_attributes/sys/4_info_reqs.htm#classification_with_attributes_arm.class_hierarchy
CAD（设计 / 建模 / 制图）,类带属性,Class_with_attributes,classification_with_attributes,ap242,3,https://www.steptools.com/stds/smrl/data/modules/classification_with_attributes/sys/4_info_reqs.htm#classification_with_attributes_arm.class_with_attributes
CAD（设计 / 建模 / 制图）,分类关联,Classification_association,classification_with_attributes,ap242,1,https://www.steptools.com/stds/smrl/data/modules/classification_with_attributes/sys/4_info_reqs.htm#classification_with_attributes_arm.classification_association
CAD（设计 / 建模 / 制图）,分类属性,Classification_attribute,classification_with_attributes,ap242,0,https://www.steptools.com/stds/smrl/data/modules/classification_with_attributes/sys/4_info_reqs.htm#classification_with_attributes_arm.classification_attribute
