序号,实体名,中文名,工业用途分类,软件模块分类,EXPRESS schema,说明链接
11,action_method,动作方法,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_method
12,action_method_assignment,动作方法赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.action_method_assignment
13,action_method_relationship,动作方法关系,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_method_relationship
14,action_method_role,动作方法角色,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.action_method_role
15,action_method_with_associated_documents,带关联文档的动作方法,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
16,action_property,动作属性,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration） / 属性 / 特征化（property & characterization）,,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
17,action_property_representation,动作属性表示,渲染 / 外观 / 可视化 / 产品 / 配置 / 数据管理（PDM）,渲染 / 可视化（rendering & visualization） / 数据管理 / 配置（PDM & configuration） / 元模型 / 表示框架（representation framework） / 属性 / 特征化（property & characterization）,,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
18,action_relationship,动作关系,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_relationship
19,action_request_assignment,动作请求赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.action_request_assignment
20,action_request_solution,动作请求解,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_request_solution
21,action_request_status,动作请求状态,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_request_status
22,action_resource,动作资源,NC / 数控加工（CAM） / 产品 / 配置 / 数据管理（PDM）,制造 / 工艺规划（CAM & process planning） / 数据管理 / 配置（PDM & configuration）,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_resource
23,action_resource_relationship,动作资源关系,NC / 数控加工（CAM） / 产品 / 配置 / 数据管理（PDM）,制造 / 工艺规划（CAM & process planning） / 数据管理 / 配置（PDM & configuration）,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_resource_relationship
24,action_resource_requirement,动作资源要求,NC / 数控加工（CAM） / 产品 / 配置 / 数据管理（PDM）,制造 / 工艺规划（CAM & process planning） / 数据管理 / 配置（PDM & configuration）,,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
25,action_resource_type,动作资源类型,NC / 数控加工（CAM） / 产品 / 配置 / 数据管理（PDM）,制造 / 工艺规划（CAM & process planning） / 数据管理 / 配置（PDM & configuration）,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_resource_type
26,action_status,动作状态,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_status
27,actuated_kinematic_pair,受驱动运动学副,机械 / 运动学 / 传动,运动学 / 仿真（kinematics & simulation）,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.actuated_kinematic_pair
28,additive_manufacturing_atom,增材制造原子,增材制造（AM）,制造 / 工艺规划（CAM & process planning）,aim-additive_manufacturing_atom,https://stepmfg.github.io/ap238/data/clause5.htm#aim-additive_manufacturing_atom
29,additive_manufacturing_build_plate_relationship,增材制造构建板关系,增材制造（AM）,制造 / 工艺规划（CAM & process planning）,additive_manufacturing_part_and_build_information_mim,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/5_mim.htm#additive_manufacturing_part_and_build_information_mim.additive_manufacturing_build_plate_relationship
30,additive_manufacturing_construction,增材制造构造,增材制造（AM）,制造 / 工艺规划（CAM & process planning）,aim-additive_manufacturing_construction,https://stepmfg.github.io/ap238/data/clause5.htm#aim-additive_manufacturing_construction
31,additive_manufacturing_feature,增材制造特征,增材制造（AM） / 特征 / 加工特征,制造 / 工艺规划（CAM & process planning）,aim-additive_manufacturing_feature,https://stepmfg.github.io/ap238/data/clause5.htm#aim-additive_manufacturing_feature
32,additive_manufacturing_setup,增材制造设置,增材制造（AM）,制造 / 工艺规划（CAM & process planning）,additive_manufacturing_part_and_build_information_mim,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/5_mim.htm#additive_manufacturing_part_and_build_information_mim.additive_manufacturing_setup
33,additive_manufacturing_setup_relationship,增材制造设置关系,增材制造（AM）,制造 / 工艺规划（CAM & process planning）,additive_manufacturing_part_and_build_information_mim,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/5_mim.htm#additive_manufacturing_part_and_build_information_mim.additive_manufacturing_setup_relationship
34,additive_manufacturing_setup_workpiece_relationship,增材制造设置工件关系,NC / 数控加工（CAM） / 增材制造（AM）,制造 / 工艺规划（CAM & process planning）,additive_manufacturing_part_and_build_information_mim,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/5_mim.htm#additive_manufacturing_part_and_build_information_mim.additive_manufacturing_setup_workpiece_relationship
35,additive_manufacturing_support_structure_geometry_relationship,增材制造支持结构几何关系,增材制造（AM）,装配 / 结构（assembly & structure） / 制造 / 工艺规划（CAM & process planning）,additive_manufacturing_part_and_build_information_mim,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/5_mim.htm#additive_manufacturing_part_and_build_information_mim.additive_manufacturing_support_structure_geometry_relationship
36,additive_type_operation,增材类型操作,NC / 数控加工（CAM） / 增材制造（AM）,制造 / 工艺规划（CAM & process planning）,aim-additive_type_operation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-additive_type_operation
37,address,地址,产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 数据管理 / 配置（PDM & configuration）,person_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/20_schema.htm#person_organization_schema.address
38,advanced_brep_shape_representation,高级边界表示形状表示,渲染 / 外观 / 可视化 / 几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid） / 渲染 / 可视化（rendering & visualization） / 元模型 / 表示框架（representation framework）,,https://www.steptools.com/stds/smrl/data/resource_docs/advanced_boundary_representation/ISO_10303-514_1999(E)-Character_PDF_document.pdf
39,advanced_face,高级面,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,,https://www.steptools.com/stds/smrl/data/resource_docs/topologically_bounded_surface/ISO_10303-511_2001(E)-Character_PDF_document.pdf
40,aggregate_id_attribute,聚合标识属性,产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 数据管理 / 配置（PDM & configuration）,basic_attribute_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/7_schema.htm#basic_attribute_schema.aggregate_id_attribute
41,all_around_shape_aspect,全周形状要素,特征 / 加工特征,其他 / 通用基础,shape_aspect_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/4_schema.htm#shape_aspect_definition_schema.all_around_shape_aspect
42,alternate_product_relationship,交替产品关系,产品 / 配置 / 数据管理（PDM）,装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,product_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/4_schema.htm#product_structure_schema.alternate_product_relationship
43,amount_of_substance_measure_with_unit,物质的量（带单位）,电力 / 物理量 / 计量单位,检测 / PMI（inspection & tolerance）,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.amount_of_substance_measure_with_unit
44,amount_of_substance_unit,物质的量单位,电力 / 物理量 / 计量单位,其他 / 通用基础,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.amount_of_substance_unit
45,and_expression,与表达式,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
46,angular_dimension,角度尺寸,公差 / 尺寸 / 基准（PMI） / 制图 / 标注 / 工程图,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation） / 检测 / PMI（inspection & tolerance）,aic_draughting_elements,https://www.steptools.com/stds/smrl/data/resource_docs/draughting_elements/sys/4_schema.htm#aic_draughting_elements.angular_dimension
47,angular_location,角度位置,公差 / 尺寸 / 基准（PMI）,检测 / PMI（inspection & tolerance） / 2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation）,shape_dimension_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/5_schema.htm#shape_dimension_schema.angular_location
48,angular_size,角度尺寸,公差 / 尺寸 / 基准（PMI）,检测 / PMI（inspection & tolerance） / 2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation）,shape_dimension_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/5_schema.htm#shape_dimension_schema.angular_size
49,angularity_tolerance,倾斜度公差,公差 / 尺寸 / 基准（PMI）,检测 / PMI（inspection & tolerance）,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.angularity_tolerance
50,annotation_curve_occurrence,标注曲线实例,几何 / 拓扑 / 实体造型 / 制图 / 标注 / 工程图 / 产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 3D 建模 / 实体造型（3D modeling & solid） / 制图 / 工程图（drawing & annotation） / 装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_curve_occurrence
51,annotation_fill_area,标注填充区域,渲染 / 外观 / 可视化 / 制图 / 标注 / 工程图,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation） / 渲染 / 可视化（rendering & visualization）,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_fill_area
52,annotation_fill_area_occurrence,标注填充面积实例,渲染 / 外观 / 可视化 / 制图 / 标注 / 工程图 / 产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation） / 渲染 / 可视化（rendering & visualization） / 装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_fill_area_occurrence
53,annotation_occurrence,标注实例,制图 / 标注 / 工程图 / 产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation） / 装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_occurrence
54,annotation_occurrence_associativity,标注实例关联,制图 / 标注 / 工程图 / 产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation） / 装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,aic_associative_draughting_elements,https://www.steptools.com/stds/smrl/data/resource_docs/associative_draughting_elements/sys/4_schema.htm#aic_associative_draughting_elements.annotation_occurrence_associativity
55,annotation_occurrence_relationship,标注实例关系,制图 / 标注 / 工程图 / 产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation） / 装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_occurrence_relationship
56,annotation_placeholder_leader_line,标注占位符指引线线,制图 / 标注 / 工程图,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation） / 外部引用 / 代理机制（external reference & proxy）,draughting_element_schema,https://www.steptools.com/stds/smrl/data/resource_docs/draughting/sys/5_schema.htm#draughting_element_schema.annotation_placeholder_leader_line
57,annotation_placeholder_occurrence,标注占位符实例,制图 / 标注 / 工程图 / 产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation） / 装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration） / 外部引用 / 代理机制（external reference & proxy）,mechanical_design_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/6_schema.htm#mechanical_design_schema.annotation_placeholder_occurrence
58,annotation_placeholder_occurrence_with_leader_line,带指引线线的标注占位符实例,制图 / 标注 / 工程图 / 产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation） / 装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration） / 外部引用 / 代理机制（external reference & proxy）,draughting_element_schema,https://www.steptools.com/stds/smrl/data/resource_docs/draughting/sys/5_schema.htm#draughting_element_schema.annotation_placeholder_occurrence_with_leader_line
59,annotation_plane,标注平面,制图 / 标注 / 工程图,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation）,draughting_element_schema,https://www.steptools.com/stds/smrl/data/resource_docs/draughting/sys/5_schema.htm#draughting_element_schema.annotation_plane
60,annotation_point_occurrence,标注点实例,制图 / 标注 / 工程图 / 产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation） / 装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_point_occurrence
61,annotation_subfigure_occurrence,标注子图实例,制图 / 标注 / 工程图 / 产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation） / 装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,aic_draughting_annotation,https://www.steptools.com/stds/smrl/data/resource_docs/draughting_annotation/sys/4_schema.htm#aic_draughting_annotation.annotation_subfigure_occurrence
62,annotation_symbol,标注符号,制图 / 标注 / 工程图,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation）,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_symbol
63,annotation_symbol_occurrence,标注符号实例,制图 / 标注 / 工程图 / 产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation） / 装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_symbol_occurrence
64,annotation_text,标注文本,制图 / 标注 / 工程图,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation）,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_text
65,annotation_text_occurrence,标注文本实例,制图 / 标注 / 工程图 / 产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation） / 装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_text_occurrence
66,annotation_to_annotation_leader_line,标注到标注的指引线,制图 / 标注 / 工程图,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation）,draughting_element_schema,https://www.steptools.com/stds/smrl/data/resource_docs/draughting/sys/5_schema.htm#draughting_element_schema.annotation_to_annotation_leader_line
67,annotation_to_model_leader_line,标注到模型的指引线,制图 / 标注 / 工程图,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation）,draughting_element_schema,https://www.steptools.com/stds/smrl/data/resource_docs/draughting/sys/5_schema.htm#draughting_element_schema.annotation_to_model_leader_line
68,apex,顶点,特征 / 加工特征,其他 / 通用基础,shape_aspect_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/4_schema.htm#shape_aspect_definition_schema.apex
69,apll_point,APLL点,制图 / 标注 / 工程图,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation）,draughting_element_schema,https://www.steptools.com/stds/smrl/data/resource_docs/draughting/sys/5_schema.htm#draughting_element_schema.apll_point
70,apll_point_with_surface,带曲面的APLL点,几何 / 拓扑 / 实体造型 / 制图 / 标注 / 工程图,2D 绘图 / 草图（2D drafting & sketch） / 3D 建模 / 实体造型（3D modeling & solid） / 制图 / 工程图（drawing & annotation）,draughting_element_schema,https://www.steptools.com/stds/smrl/data/resource_docs/draughting/sys/5_schema.htm#draughting_element_schema.apll_point_with_surface
71,application_context,应用上下文,几何 / 拓扑 / 实体造型,元模型 / 表示框架（representation framework） / 2D 绘图 / 草图（2D drafting & sketch） / 3D 建模 / 实体造型（3D modeling & solid） / 数据管理 / 配置（PDM & configuration）,aim-application_context,https://stepmfg.github.io/ap238/data/clause5.htm#aim-application_context
72,application_context_element,应用上下文元素,几何 / 拓扑 / 实体造型,2D 绘图 / 草图（2D drafting & sketch） / 3D 建模 / 实体造型（3D modeling & solid） / 数据管理 / 配置（PDM & configuration）,application_context_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/5_schema.htm#application_context_schema.application_context_element
73,application_defined_function,应用定义函数,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
74,application_protocol_definition,应用协议定义,几何 / 拓扑 / 实体造型,2D 绘图 / 草图（2D drafting & sketch） / 3D 建模 / 实体造型（3D modeling & solid） / 数据管理 / 配置（PDM & configuration）,aim-application_protocol_definition,https://stepmfg.github.io/ap238/data/clause5.htm#aim-application_protocol_definition
75,applied_action_assignment,应用动作赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,activity_mim,https://www.steptools.com/stds/smrl/data/modules/activity/sys/5_mim.htm#activity_mim.applied_action_assignment
76,applied_action_method_assignment,应用动作方法赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,activity_method_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/activity_method_assignment/sys/5_mim.htm#activity_method_assignment_mim.applied_action_method_assignment
77,applied_action_request_assignment,应用动作请求赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,work_request_mim,https://www.steptools.com/stds/smrl/data/modules/work_request/sys/5_mim.htm#work_request_mim.applied_action_request_assignment
78,applied_approval_assignment,应用批准赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,approval_mim,https://www.steptools.com/stds/smrl/data/modules/approval/sys/5_mim.htm#approval_mim.applied_approval_assignment
79,applied_area,应用面积,产品 / 配置 / 数据管理（PDM） / 特征 / 加工特征,数据管理 / 配置（PDM & configuration）,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.applied_area
80,applied_attribute_classification_assignment,应用属性分类赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,attribute_classification_mim,https://www.steptools.com/stds/smrl/data/modules/attribute_classification/sys/5_mim.htm#attribute_classification_mim.applied_attribute_classification_assignment
81,applied_certification_assignment,应用认证赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,certification_mim,https://www.steptools.com/stds/smrl/data/modules/certification/sys/5_mim.htm#certification_mim.applied_certification_assignment
82,applied_classification_assignment,应用分类赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,classification_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/classification_assignment/sys/5_mim.htm#classification_assignment_mim.applied_classification_assignment
83,applied_classification_assignment_relationship,应用分类赋值关系,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,classification_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/classification_assignment/sys/5_mim.htm#classification_assignment_mim.applied_classification_assignment_relationship
84,applied_contract_assignment,应用合同赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,contract_mim,https://www.steptools.com/stds/smrl/data/modules/contract/sys/5_mim.htm#contract_mim.applied_contract_assignment
85,applied_date_and_time_assignment,应用日期与时间赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,date_time_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/date_time_assignment/sys/5_mim.htm#date_time_assignment_mim.applied_date_and_time_assignment
86,applied_date_assignment,应用日期赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,date_time_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/date_time_assignment/sys/5_mim.htm#date_time_assignment_mim.applied_date_assignment
87,applied_directed_action_assignment,应用有向动作赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,work_order_mim,https://www.steptools.com/stds/smrl/data/modules/work_order/sys/5_mim.htm#work_order_mim.applied_directed_action_assignment
88,applied_document_reference,应用文档引用,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration） / 外部引用 / 代理机制（external reference & proxy）,document_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/document_assignment/sys/5_mim.htm#document_assignment_mim.applied_document_reference
89,applied_document_usage_constraint_assignment,应用文档用法约束赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,document_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/document_assignment/sys/5_mim.htm#document_assignment_mim.applied_document_usage_constraint_assignment
90,applied_effectivity_assignment,应用有效性赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration） / 有效性 / 版本（effectivity & versioning）,effectivity_application_mim,https://www.steptools.com/stds/smrl/data/modules/effectivity_application/sys/5_mim.htm#effectivity_application_mim.applied_effectivity_assignment
91,applied_event_occurrence_assignment,应用事件实例赋值,产品 / 配置 / 数据管理（PDM）,装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,event_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/event_assignment/sys/5_mim.htm#event_assignment_mim.applied_event_occurrence_assignment
92,applied_external_identification_assignment,应用外部标识赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration） / 外部引用 / 代理机制（external reference & proxy）,external_item_identification_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/external_item_identification_assignment/sys/5_mim.htm#external_item_identification_assignment_mim.applied_external_identification_assignment
93,applied_external_identification_assignment_relationship,应用外部标识赋值关系,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration） / 外部引用 / 代理机制（external reference & proxy）,external_item_identification_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/external_item_identification_assignment/sys/5_mim.htm#external_item_identification_assignment_mim.applied_external_identification_assignment_relationship
