中文名,英文名,概念名,模块,来源,引用次数,官方定义链接
接近抬刀路径相切,Ap_lift_path_tangent,ap_lift_path_tangent,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-ap_lift_path_tangent
接近退回角,Ap_retract_angle,ap_retract_angle,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-ap_retract_angle
接近退回相切,Ap_retract_tangent,ap_retract_tangent,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-ap_retract_tangent
接近抬刀路径,Approach_lift_path,approach_lift_path,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-approach_lift_path
接近退回策略,Approach_retract_strategy,approach_retract_strategy,,ap238,6,https://stepmfg.github.io/ap238/data/clause4.htm#ao-approach_retract_strategy
赋值,Assignment,assignment,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-assignment
轴轨迹,Axis_trajectory,axis_trajectory,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-axis_trajectory
后镗孔,Back_boring,back_boring,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-back_boring
球头立铣刀,Ballnose_endmill,ballnose_endmill,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-ballnose_endmill
双向,Bidirectional,bidirectional,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-bidirectional
双向轮廓,Bidirectional_contour,bidirectional_contour,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-bidirectional_contour
双向车削,Bidirectional_turning,bidirectional_turning,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-bidirectional_turning
镗孔,Boring,boring,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-boring
镗孔操作,Boring_operation,boring_operation,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-boring_operation
底部与侧精加工铣削,Bottom_and_side_finish_milling,bottom_and_side_finish_milling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-bottom_and_side_finish_milling
底部与侧铣削,Bottom_and_side_milling,bottom_and_side_milling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-bottom_and_side_milling
底部与侧粗加工铣削,Bottom_and_side_rough_milling,bottom_and_side_rough_milling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-bottom_and_side_rough_milling
圆鼻立铣刀,Bullnose_endmill,bullnose_endmill,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-bullnose_endmill
中心钻孔,Center_drilling,center_drilling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-center_drilling
中心铣削,Center_milling,center_milling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-center_milling
倒角角,Chamfered_corner,chamfered_corner,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-chamfered_corner
通道,Channel,channel,,ap238,1,https://stepmfg.github.io/ap238/data/clause4.htm#ao-channel
组合钻与铰刀,Combined_drill_and_reamer,combined_drill_and_reamer,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-combined_drill_and_reamer
组合钻与攻丝,Combined_drill_and_tap,combined_drill_and_tap,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-combined_drill_and_tap
连接直接,Connect_direct,connect_direct,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-connect_direct
连接截面,Connect_secplane,connect_secplane,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-connect_secplane
连接器,Connector,connector,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-connector
常量切削速度,Const_cutting_speed,const_cutting_speed,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-const_cutting_speed
常量主轴速度,Const_spindle_speed,const_spindle_speed,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-const_spindle_speed
轮廓双向,Contour_bidirectional,contour_bidirectional,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-contour_bidirectional
轮廓平行,Contour_parallel,contour_parallel,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-contour_parallel
轮廓螺旋,Contour_spiral,contour_spiral,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-contour_spiral
轮廓车削,Contour_turning,contour_turning,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-contour_turning
轮廓加工,Contouring,contouring,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-contouring
轮廓加工精加工,Contouring_finish,contouring_finish,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-contouring_finish
轮廓加工粗加工,Contouring_rough,contouring_rough,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-contouring_rough
角过渡,Corner_transition,corner_transition,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-corner_transition
反向下沉,Counter_sinking,counter_sinking,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-counter_sinking
沉孔,Counterbore,counterbore,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-counterbore
锥形沉孔,Countersink,countersink,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-countersink
曲线带法向向量,Curve_with_normal_vector,curve_with_normal_vector,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-curve_with_normal_vector
刀具接触轨迹,Cutter_contact_trajectory,cutter_contact_trajectory,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-cutter_contact_trajectory
刀具位置轨迹,Cutter_location_trajectory,cutter_location_trajectory,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-cutter_location_trajectory
切削组件,Cutting_component,cutting_component,,ap238,1,https://stepmfg.github.io/ap238/data/clause4.htm#ao-cutting_component
切削边属性,Cutting_edge_properties,cutting_edge_properties,,ap238,1,https://stepmfg.github.io/ap238/data/clause4.htm#ao-cutting_edge_properties
切削在,Cutting_in,cutting_in,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-cutting_in
显示消息,Display_message,display_message,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-display_message
燕尾铣,Dovetail_mill,dovetail_mill,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-dovetail_mill
钻孔,Drilling,drilling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-drilling
钻孔切削刀具,Drilling_cutting_tool,drilling_cutting_tool,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-drilling_cutting_tool
钻孔操作,Drilling_operation,drilling_operation,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-drilling_operation
钻孔类型操作,Drilling_type_operation,drilling_type_operation,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-drilling_type_operation
钻孔类型策略,Drilling_type_strategy,drilling_type_strategy,,ap238,1,https://stepmfg.github.io/ap238/data/clause4.htm#ao-drilling_type_strategy
立铣刀,Endmill,endmill,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-endmill
交换托盘,Exchange_pallet,exchange_pallet,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-exchange_pallet
可执行,Executable,executable,,ap238,10,https://stepmfg.github.io/ap238/data/clause4.htm#ao-executable
显式策略,Explicit_strategy,explicit_strategy,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-explicit_strategy
显式车削策略,Explicit_turning_strategy,explicit_turning_strategy,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-explicit_turning_strategy
扩展数控函数,Extended_nc_function,extended_nc_function,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-extended_nc_function
扩展操作,Extended_operation,extended_operation,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-extended_operation
面铣刀,Facemill,facemill,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-facemill
端面加工,Facing,facing,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-facing
端面加工精加工,Facing_finish,facing_finish,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-facing_finish
端面加工粗加工,Facing_rough,facing_rough,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-facing_rough
特征完整探测,Feature_complete_probing,feature_complete_probing,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-feature_complete_probing
进给停止,Feedstop,feedstop,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-feedstop
五轴常量倾斜偏航,Five_axes_const_tilt_yaw,five_axes_const_tilt_yaw,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-five_axes_const_tilt_yaw
五轴变量倾斜偏航,Five_axes_var_tilt_yaw,five_axes_var_tilt_yaw,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-five_axes_var_tilt_yaw
夹具用法,Fixture_usage,fixture_usage,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-fixture_usage
自由曲面精加工铣削,Freeform_finish_milling,freeform_finish_milling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-freeform_finish_milling
自由曲面操作,Freeform_operation,freeform_operation,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-freeform_operation
自由曲面粗加工铣削,Freeform_rough_milling,freeform_rough_milling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-freeform_rough_milling
自由曲面策略,Freeform_strategy,freeform_strategy,,ap238,1,https://stepmfg.github.io/ap238/data/clause4.htm#ao-freeform_strategy
通用车削刀具,General_turning_tool,general_turning_tool,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-general_turning_tool
切槽,Grooving,grooving,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-grooving
切槽精加工,Grooving_finish,grooving_finish,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-grooving_finish
切槽粗加工,Grooving_rough,grooving_rough,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-grooving_rough
切槽策略,Grooving_strategy,grooving_strategy,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-grooving_strategy
切槽刀具,Grooving_tool,grooving_tool,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-grooving_tool
如果语句,If_statement,if_statement,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-if_statement
索引托盘,Index_pallet,index_pallet,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-index_pallet
索引表,Index_table,index_table,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-index_table
滚花,Knurling,knurling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-knurling
滚花刀具,Knurling_tool,knurling_tool,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-knurling_tool
最后修改时间戳,Last_modified_timestamp,last_modified_timestamp,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-last_modified_timestamp
前导线策略,Leading_line_strategy,leading_line_strategy,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-leading_line_strategy
装载刀具,Load_tool,load_tool,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-load_tool
机床轴约束,Machine_axis_constraint,machine_axis_constraint,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-machine_axis_constraint
机床轴行程,Machine_axis_travel,machine_axis_travel,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-machine_axis_travel
机床函数,Machine_functions,machine_functions,,ap238,3,https://stepmfg.github.io/ap238/data/clause4.htm#ao-machine_functions
机床参数,Machine_parameters,machine_parameters,,ap238,1,https://stepmfg.github.io/ap238/data/clause4.htm#ao-machine_parameters
机床用法,Machine_usage,machine_usage,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-machine_usage
机床带运动学,Machine_with_kinematics,machine_with_kinematics,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-machine_with_kinematics
加工操作,Machining_operation,machining_operation,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-machining_operation
加工刀具,Machining_tool,machining_tool,,ap238,5,https://stepmfg.github.io/ap238/data/clause4.htm#ao-machining_tool
加工工步,Machining_workingstep,machining_workingstep,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-machining_workingstep
制造项目,Manufacturing_project,manufacturing_project,,ap238,1,https://stepmfg.github.io/ap238/data/clause4.htm#ao-manufacturing_project
铣削切削刀具,Milling_cutting_tool,milling_cutting_tool,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-milling_cutting_tool
铣削机床切削刀具,Milling_machine_cutting_tool,milling_machine_cutting_tool,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-milling_machine_cutting_tool
铣削机床函数,Milling_machine_functions,milling_machine_functions,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-milling_machine_functions
铣削加工操作,Milling_machining_operation,milling_machining_operation,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-milling_machining_operation
铣削技术,Milling_technology,milling_technology,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-milling_technology
铣削类型操作,Milling_type_operation,milling_type_operation,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-milling_type_operation
多步钻孔,Multistep_drilling,multistep_drilling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-multistep_drilling
多步切槽策略,Multistep_grooving_strategy,multistep_grooving_strategy,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-multistep_grooving_strategy
数控常量,Nc_constant,nc_constant,,ap238,1,https://stepmfg.github.io/ap238/data/clause4.htm#ao-nc_constant
数控函数,Nc_function,nc_function,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-nc_function
数控变量,Nc_variable,nc_variable,,ap238,5,https://stepmfg.github.io/ap238/data/clause4.htm#ao-nc_variable
非顺序,Non_sequential,non_sequential,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-non_sequential
偏置向量,Offset_vector,offset_vector,,ap238,1,https://stepmfg.github.io/ap238/data/clause4.htm#ao-offset_vector
操作,Operation,operation,,ap238,2,https://stepmfg.github.io/ap238/data/clause4.htm#ao-operation
可选停止,Optional_stop,optional_stop,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-optional_stop
平行,Parallel,parallel,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-parallel
参数化路径,Parameterised_path,parameterised_path,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-parameterised_path
平面CC策略,Plane_cc_strategy,plane_cc_strategy,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-plane_cc_strategy
平面CL策略,Plane_cl_strategy,plane_cl_strategy,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-plane_cl_strategy
平面精加工铣削,Plane_finish_milling,plane_finish_milling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-plane_finish_milling
平面铣削,Plane_milling,plane_milling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-plane_milling
平面粗加工铣削,Plane_rough_milling,plane_rough_milling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-plane_rough_milling
下刀螺旋,Plunge_helix,plunge_helix,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-plunge_helix
下刀斜坡,Plunge_ramp,plunge_ramp,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-plunge_ramp
下刀策略,Plunge_strategy,plunge_strategy,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-plunge_strategy
下刀刀轴,Plunge_toolaxis,plunge_toolaxis,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-plunge_toolaxis
下刀之字形,Plunge_zigzag,plunge_zigzag,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-plunge_zigzag
过程模型,Process_model,process_model,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-process_model
过程模型列表,Process_model_list,process_model_list,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-process_model_list
过程属性,Process_property,process_property,,ap238,2,https://stepmfg.github.io/ap238/data/clause4.htm#ao-process_property
成型角,Profiled_corner,profiled_corner,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-profiled_corner
成型端铣,Profiled_end_mill,profiled_end_mill,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-profiled_end_mill
程序停止,Program_stop,program_stop,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-program_stop
程序结构,Program_structure,program_structure,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-program_structure
快速移动,Rapid_movement,rapid_movement,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-rapid_movement
铰孔,Reaming,reaming,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-reaming
铰孔切削刀具,Reaming_cutting_tool,reaming_cutting_tool,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-reaming_cutting_tool
返回原点,Return_home,return_home,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-return_home
旋转镗孔切削刀具,Rotating_boring_cutting_tool,rotating_boring_cutting_tool,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-rotating_boring_cutting_tool
圆角角,Rounded_corner,rounded_corner,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-rounded_corner
选择性,Selective,selective,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-selective
集合标记,Set_mark,set_mark,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-set_mark
设置,Setup,setup,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-setup
设置指令,Setup_instruction,setup_instruction,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-setup_instruction
肩铣刀,Shouldermill,shouldermill,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-shouldermill
侧精加工铣削,Side_finish_milling,side_finish_milling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-side_finish_milling
侧铣,Side_mill,side_mill,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-side_mill
侧铣削,Side_milling,side_milling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-side_milling
侧粗加工铣削,Side_rough_milling,side_rough_milling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-side_rough_milling
扁钻钻,Spade_drill,spade_drill,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-spade_drill
定心钻,Spotdrill,spotdrill,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-spotdrill
步钻,Step_drill,step_drill,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-step_drill
T槽铣,T_slot_mill,t_slot_mill,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-t_slot_mill
锥形钻,Tapered_drill,tapered_drill,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-tapered_drill
锥形铰刀,Tapered_reamer,tapered_reamer,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-tapered_reamer
攻丝,Tapping,tapping,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-tapping
攻丝切削刀具,Tapping_cutting_tool,tapping_cutting_tool,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-tapping_cutting_tool
技术,Technology,technology,,ap238,5,https://stepmfg.github.io/ap238/data/clause4.htm#ao-technology
螺纹钻孔,Thread_drilling,thread_drilling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-thread_drilling
螺纹铣,Thread_mill,thread_mill,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-thread_mill
螺纹策略,Thread_strategy,thread_strategy,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-thread_strategy
车螺纹,Threading,threading,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-threading
车螺纹精加工,Threading_finish,threading_finish,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-threading_finish
车螺纹粗加工,Threading_rough,threading_rough,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-threading_rough
三轴,Three_axes,three_axes,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-three_axes
三轴倾斜刀具,Three_axes_tilted_tool,three_axes_tilted_tool,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-three_axes_tilted_tool
公差,Tolerances,tolerances,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-tolerances
刀具方向,Tool_direction,tool_direction,,ap238,1,https://stepmfg.github.io/ap238/data/clause4.htm#ao-tool_direction
刀具方向用于铣削,Tool_direction_for_milling,tool_direction_for_milling,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-tool_direction_for_milling
刀具长度探测,Tool_length_probing,tool_length_probing,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-tool_length_probing
刀具探测,Tool_probing,tool_probing,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-tool_probing
刀具半径探测,Tool_radius_probing,tool_radius_probing,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-tool_radius_probing
刀具用法,Tool_usage,tool_usage,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-tool_usage
刀路,Toolpath,toolpath,,ap238,1,https://stepmfg.github.io/ap238/data/clause4.htm#ao-toolpath
刀路列表,Toolpath_list,toolpath_list,,ap238,2,https://stepmfg.github.io/ap238/data/clause4.htm#ao-toolpath_list
刀路速度,Toolpath_speed,toolpath_speed,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-toolpath_speed
接触测头,Touch_probe,touch_probe,,ap238,3,https://stepmfg.github.io/ap238/data/clause4.htm#ao-touch_probe
接触探测,Touch_probing,touch_probing,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-touch_probing
轨迹,Trajectory,trajectory,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-trajectory
车削机床切削刀具,Turning_machine_cutting_tool,turning_machine_cutting_tool,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-turning_machine_cutting_tool
车削机床函数,Turning_machine_functions,turning_machine_functions,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-turning_machine_functions
车削加工操作,Turning_machining_operation,turning_machining_operation,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-turning_machining_operation
车削加工策略,Turning_machining_strategy,turning_machining_strategy,,ap238,1,https://stepmfg.github.io/ap238/data/clause4.htm#ao-turning_machining_strategy
车削技术,Turning_technology,turning_technology,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-turning_technology
车削车螺纹刀具,Turning_threading_tool,turning_threading_tool,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-turning_threading_tool
车削工步,Turning_workingstep,turning_workingstep,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-turning_workingstep
螺旋钻,Twist_drill,twist_drill,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-twist_drill
2.5D铣削操作,Two5d_milling_operation,two5d_milling_operation,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-two5d_milling_operation
2.5D铣削策略,Two5d_milling_strategy,two5d_milling_strategy,,ap238,1,https://stepmfg.github.io/ap238/data/clause4.htm#ao-two5d_milling_strategy
二轴,Two_axes,two_axes,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-two_axes
单向,Unidirectional,unidirectional,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-unidirectional
单向车削,Unidirectional_turning,unidirectional_turning,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-unidirectional_turning
卸载刀具,Unload_tool,unload_tool,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-unload_tool
用户定义铣削刀具,User_defined_milling_tool,user_defined_milling_tool,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-user_defined_milling_tool
用户定义车削刀具,User_defined_turning_tool,user_defined_turning_tool,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-user_defined_turning_tool
UV策略,Uv_strategy,uv_strategy,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-uv_strategy
等待用于标记,Wait_for_mark,wait_for_mark,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-wait_for_mark
当语句,While_statement,while_statement,,ap238,0,https://stepmfg.github.io/ap238/data/clause4.htm#ao-while_statement
