序号,框类型,实体名,中文名,EXPRESS schema,说明链接
19,实体定义框,action_request_assignment,动作请求赋值,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.action_request_assignment
20,实体定义框,action_request_solution,动作请求解,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_request_solution
21,实体定义框,action_request_status,动作请求状态,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_request_status
22,实体定义框,action_resource,动作资源,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_resource
23,实体定义框,action_resource_relationship,动作资源关系,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_resource_relationship
24,实体定义框,action_resource_requirement,动作资源要求,,https://www.steptools.com/stds/smrl/data/resource_docs/process_structure_and_properties/ISO_10303-49_1998.pdf
25,实体定义框,action_resource_type,动作资源类型,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_resource_type
26,实体定义框,action_status,动作状态,action_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/4_schema.htm#action_schema.action_status
27,实体定义框,actuated_kinematic_pair,受驱动运动学副,kinematic_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/kinematics/sys/6_schema.htm#kinematic_structure_schema.actuated_kinematic_pair
28,实体定义框,additive_manufacturing_atom,增材制造原子,aim-additive_manufacturing_atom,https://stepmfg.github.io/ap238/data/clause5.htm#aim-additive_manufacturing_atom
29,实体定义框,additive_manufacturing_build_plate_relationship,增材制造构建板关系,additive_manufacturing_part_and_build_information_mim,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/5_mim.htm#additive_manufacturing_part_and_build_information_mim.additive_manufacturing_build_plate_relationship
30,实体定义框,additive_manufacturing_construction,增材制造构造,aim-additive_manufacturing_construction,https://stepmfg.github.io/ap238/data/clause5.htm#aim-additive_manufacturing_construction
31,实体定义框,additive_manufacturing_feature,增材制造特征,aim-additive_manufacturing_feature,https://stepmfg.github.io/ap238/data/clause5.htm#aim-additive_manufacturing_feature
32,实体定义框,additive_manufacturing_setup,增材制造设置,additive_manufacturing_part_and_build_information_mim,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/5_mim.htm#additive_manufacturing_part_and_build_information_mim.additive_manufacturing_setup
33,实体定义框,additive_manufacturing_setup_relationship,增材制造设置关系,additive_manufacturing_part_and_build_information_mim,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/5_mim.htm#additive_manufacturing_part_and_build_information_mim.additive_manufacturing_setup_relationship
34,实体定义框,additive_manufacturing_setup_workpiece_relationship,增材制造设置工件关系,additive_manufacturing_part_and_build_information_mim,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/5_mim.htm#additive_manufacturing_part_and_build_information_mim.additive_manufacturing_setup_workpiece_relationship
35,实体定义框,additive_manufacturing_support_structure_geometry_relationship,增材制造支持结构几何关系,additive_manufacturing_part_and_build_information_mim,https://www.steptools.com/stds/smrl/data/modules/additive_manufacturing_part_and_build_information/sys/5_mim.htm#additive_manufacturing_part_and_build_information_mim.additive_manufacturing_support_structure_geometry_relationship
36,实体定义框,additive_type_operation,增材类型操作,aim-additive_type_operation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-additive_type_operation
37,实体定义框,address,地址,person_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/20_schema.htm#person_organization_schema.address
38,实体定义框,advanced_brep_shape_representation,高级边界表示形状表示,,https://www.steptools.com/stds/smrl/data/resource_docs/advanced_boundary_representation/ISO_10303-514_1999(E)-Character_PDF_document.pdf
39,实体定义框,advanced_face,高级面,,https://www.steptools.com/stds/smrl/data/resource_docs/topologically_bounded_surface/ISO_10303-511_2001(E)-Character_PDF_document.pdf
40,实体定义框,aggregate_id_attribute,聚合标识属性,basic_attribute_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/7_schema.htm#basic_attribute_schema.aggregate_id_attribute
41,实体定义框,all_around_shape_aspect,全周形状要素,shape_aspect_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/4_schema.htm#shape_aspect_definition_schema.all_around_shape_aspect
42,实体定义框,alternate_product_relationship,交替产品关系,product_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/4_schema.htm#product_structure_schema.alternate_product_relationship
43,实体定义框,amount_of_substance_measure_with_unit,物质的量（带单位）,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.amount_of_substance_measure_with_unit
44,实体定义框,amount_of_substance_unit,物质的量单位,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.amount_of_substance_unit
45,实体定义框,and_expression,与表达式,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
46,实体定义框,angular_dimension,角度尺寸,aic_draughting_elements,https://www.steptools.com/stds/smrl/data/resource_docs/draughting_elements/sys/4_schema.htm#aic_draughting_elements.angular_dimension
47,实体定义框,angular_location,角度位置,shape_dimension_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/5_schema.htm#shape_dimension_schema.angular_location
48,实体定义框,angular_size,角度尺寸,shape_dimension_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/5_schema.htm#shape_dimension_schema.angular_size
49,实体定义框,angularity_tolerance,倾斜度公差,shape_tolerance_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/6_schema.htm#shape_tolerance_schema.angularity_tolerance
50,实体定义框,annotation_curve_occurrence,标注曲线实例,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_curve_occurrence
51,实体定义框,annotation_fill_area,标注填充区域,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_fill_area
52,实体定义框,annotation_fill_area_occurrence,标注填充面积实例,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_fill_area_occurrence
53,实体定义框,annotation_occurrence,标注实例,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_occurrence
54,实体定义框,annotation_occurrence_associativity,标注实例关联,aic_associative_draughting_elements,https://www.steptools.com/stds/smrl/data/resource_docs/associative_draughting_elements/sys/4_schema.htm#aic_associative_draughting_elements.annotation_occurrence_associativity
55,实体定义框,annotation_occurrence_relationship,标注实例关系,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_occurrence_relationship
56,实体定义框,annotation_placeholder_leader_line,标注占位符指引线线,draughting_element_schema,https://www.steptools.com/stds/smrl/data/resource_docs/draughting/sys/5_schema.htm#draughting_element_schema.annotation_placeholder_leader_line
57,实体定义框,annotation_placeholder_occurrence,标注占位符实例,mechanical_design_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/6_schema.htm#mechanical_design_schema.annotation_placeholder_occurrence
58,实体定义框,annotation_placeholder_occurrence_with_leader_line,带指引线线的标注占位符实例,draughting_element_schema,https://www.steptools.com/stds/smrl/data/resource_docs/draughting/sys/5_schema.htm#draughting_element_schema.annotation_placeholder_occurrence_with_leader_line
59,实体定义框,annotation_plane,标注平面,draughting_element_schema,https://www.steptools.com/stds/smrl/data/resource_docs/draughting/sys/5_schema.htm#draughting_element_schema.annotation_plane
60,实体定义框,annotation_point_occurrence,标注点实例,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_point_occurrence
61,实体定义框,annotation_subfigure_occurrence,标注子图实例,aic_draughting_annotation,https://www.steptools.com/stds/smrl/data/resource_docs/draughting_annotation/sys/4_schema.htm#aic_draughting_annotation.annotation_subfigure_occurrence
62,实体定义框,annotation_symbol,标注符号,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_symbol
63,实体定义框,annotation_symbol_occurrence,标注符号实例,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_symbol_occurrence
64,实体定义框,annotation_text,标注文本,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_text
65,实体定义框,annotation_text_occurrence,标注文本实例,presentation_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/5_schema.htm#presentation_definition_schema.annotation_text_occurrence
66,实体定义框,annotation_to_annotation_leader_line,标注到标注的指引线,draughting_element_schema,https://www.steptools.com/stds/smrl/data/resource_docs/draughting/sys/5_schema.htm#draughting_element_schema.annotation_to_annotation_leader_line
67,实体定义框,annotation_to_model_leader_line,标注到模型的指引线,draughting_element_schema,https://www.steptools.com/stds/smrl/data/resource_docs/draughting/sys/5_schema.htm#draughting_element_schema.annotation_to_model_leader_line
68,实体定义框,apex,顶点,shape_aspect_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/4_schema.htm#shape_aspect_definition_schema.apex
69,实体定义框,apll_point,APLL点,draughting_element_schema,https://www.steptools.com/stds/smrl/data/resource_docs/draughting/sys/5_schema.htm#draughting_element_schema.apll_point
70,实体定义框,apll_point_with_surface,带曲面的APLL点,draughting_element_schema,https://www.steptools.com/stds/smrl/data/resource_docs/draughting/sys/5_schema.htm#draughting_element_schema.apll_point_with_surface
71,实体定义框,application_context,应用上下文,aim-application_context,https://stepmfg.github.io/ap238/data/clause5.htm#aim-application_context
72,实体定义框,application_context_element,应用上下文元素,application_context_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/5_schema.htm#application_context_schema.application_context_element
73,实体定义框,application_defined_function,应用定义函数,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
74,实体定义框,application_protocol_definition,应用协议定义,aim-application_protocol_definition,https://stepmfg.github.io/ap238/data/clause5.htm#aim-application_protocol_definition
75,实体定义框,applied_action_assignment,应用动作赋值,activity_mim,https://www.steptools.com/stds/smrl/data/modules/activity/sys/5_mim.htm#activity_mim.applied_action_assignment
76,实体定义框,applied_action_method_assignment,应用动作方法赋值,activity_method_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/activity_method_assignment/sys/5_mim.htm#activity_method_assignment_mim.applied_action_method_assignment
77,实体定义框,applied_action_request_assignment,应用动作请求赋值,work_request_mim,https://www.steptools.com/stds/smrl/data/modules/work_request/sys/5_mim.htm#work_request_mim.applied_action_request_assignment
78,实体定义框,applied_approval_assignment,应用批准赋值,approval_mim,https://www.steptools.com/stds/smrl/data/modules/approval/sys/5_mim.htm#approval_mim.applied_approval_assignment
79,实体定义框,applied_area,应用面积,machining_feature_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/5_schema.htm#machining_feature_schema.applied_area
80,实体定义框,applied_attribute_classification_assignment,应用属性分类赋值,attribute_classification_mim,https://www.steptools.com/stds/smrl/data/modules/attribute_classification/sys/5_mim.htm#attribute_classification_mim.applied_attribute_classification_assignment
81,实体定义框,applied_certification_assignment,应用认证赋值,certification_mim,https://www.steptools.com/stds/smrl/data/modules/certification/sys/5_mim.htm#certification_mim.applied_certification_assignment
82,实体定义框,applied_classification_assignment,应用分类赋值,classification_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/classification_assignment/sys/5_mim.htm#classification_assignment_mim.applied_classification_assignment
83,实体定义框,applied_classification_assignment_relationship,应用分类赋值关系,classification_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/classification_assignment/sys/5_mim.htm#classification_assignment_mim.applied_classification_assignment_relationship
84,实体定义框,applied_contract_assignment,应用合同赋值,contract_mim,https://www.steptools.com/stds/smrl/data/modules/contract/sys/5_mim.htm#contract_mim.applied_contract_assignment
85,实体定义框,applied_date_and_time_assignment,应用日期与时间赋值,date_time_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/date_time_assignment/sys/5_mim.htm#date_time_assignment_mim.applied_date_and_time_assignment
86,实体定义框,applied_date_assignment,应用日期赋值,date_time_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/date_time_assignment/sys/5_mim.htm#date_time_assignment_mim.applied_date_assignment
87,实体定义框,applied_directed_action_assignment,应用有向动作赋值,work_order_mim,https://www.steptools.com/stds/smrl/data/modules/work_order/sys/5_mim.htm#work_order_mim.applied_directed_action_assignment
88,实体定义框,applied_document_reference,应用文档引用,document_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/document_assignment/sys/5_mim.htm#document_assignment_mim.applied_document_reference
89,实体定义框,applied_document_usage_constraint_assignment,应用文档用法约束赋值,document_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/document_assignment/sys/5_mim.htm#document_assignment_mim.applied_document_usage_constraint_assignment
90,实体定义框,applied_effectivity_assignment,应用有效性赋值,effectivity_application_mim,https://www.steptools.com/stds/smrl/data/modules/effectivity_application/sys/5_mim.htm#effectivity_application_mim.applied_effectivity_assignment
91,实体定义框,applied_event_occurrence_assignment,应用事件实例赋值,event_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/event_assignment/sys/5_mim.htm#event_assignment_mim.applied_event_occurrence_assignment
92,实体定义框,applied_external_identification_assignment,应用外部标识赋值,external_item_identification_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/external_item_identification_assignment/sys/5_mim.htm#external_item_identification_assignment_mim.applied_external_identification_assignment
93,实体定义框,applied_external_identification_assignment_relationship,应用外部标识赋值关系,external_item_identification_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/external_item_identification_assignment/sys/5_mim.htm#external_item_identification_assignment_mim.applied_external_identification_assignment_relationship
94,实体定义框,applied_group_assignment,应用组赋值,group_mim,https://www.steptools.com/stds/smrl/data/modules/group/sys/5_mim.htm#group_mim.applied_group_assignment
95,实体定义框,applied_identification_assignment,应用标识赋值,identification_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/identification_assignment/sys/5_mim.htm#identification_assignment_mim.applied_identification_assignment
96,实体定义框,applied_ineffectivity_assignment,应用无效性赋值,effectivity_application_mim,https://www.steptools.com/stds/smrl/data/modules/effectivity_application/sys/5_mim.htm#effectivity_application_mim.applied_ineffectivity_assignment
97,实体定义框,applied_name_assignment,应用名称赋值,name_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/name_assignment/sys/5_mim.htm#name_assignment_mim.applied_name_assignment
98,实体定义框,applied_organization_assignment,应用组织赋值,person_organization_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/person_organization_assignment/sys/5_mim.htm#person_organization_assignment_mim.applied_organization_assignment
99,实体定义框,applied_organizational_project_assignment,应用组织项目赋值,project_mim,https://www.steptools.com/stds/smrl/data/modules/project/sys/5_mim.htm#project_mim.applied_organizational_project_assignment
100,实体定义框,applied_person_and_organization_assignment,应用人员与组织赋值,person_organization_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/person_organization_assignment/sys/5_mim.htm#person_organization_assignment_mim.applied_person_and_organization_assignment
101,实体定义框,applied_presented_item,应用被表示项,presentation_hierarchy_mim,https://www.steptools.com/stds/smrl/data/modules/presentation_hierarchy/sys/5_mim.htm#presentation_hierarchy_mim.applied_presented_item
102,实体定义框,applied_security_classification_assignment,应用安全分类赋值,security_classification_mim,https://www.steptools.com/stds/smrl/data/modules/security_classification/sys/5_mim.htm#security_classification_mim.applied_security_classification_assignment
103,实体定义框,applied_time_interval_assignment,应用时间区间赋值,time_interval_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/time_interval_assignment/sys/5_mim.htm#time_interval_assignment_mim.applied_time_interval_assignment
104,实体定义框,applied_usage_right,应用用法右,information_rights_mim,https://www.steptools.com/stds/smrl/data/modules/information_rights/sys/5_mim.htm#information_rights_mim.applied_usage_right
105,实体定义框,approval,批准,approval_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/6_schema.htm#approval_schema.approval
106,实体定义框,approval_assignment,批准赋值,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.approval_assignment
107,实体定义框,approval_date_time,批准日期时间,approval_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/6_schema.htm#approval_schema.approval_date_time
108,实体定义框,approval_person_organization,批准人员组织,approval_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/6_schema.htm#approval_schema.approval_person_organization
109,实体定义框,approval_relationship,批准关系,approval_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/6_schema.htm#approval_schema.approval_relationship
110,实体定义框,approval_role,批准角色,approval_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/6_schema.htm#approval_schema.approval_role
111,实体定义框,approval_status,批准状态,approval_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/6_schema.htm#approval_schema.approval_status
112,实体定义框,area_in_set,集合中的面积,presentation_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/4_schema.htm#presentation_organization_schema.area_in_set
113,实体定义框,area_measure_with_unit,带单位的面积量,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.area_measure_with_unit
114,实体定义框,area_unit,面积单位,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.area_unit
115,实体定义框,asin_function,反正弦函数,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
116,实体定义框,assembly_component_usage,装配组件用法,product_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/4_schema.htm#product_structure_schema.assembly_component_usage
117,实体定义框,assembly_component_usage_substitute,装配组件用法替代,product_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/4_schema.htm#product_structure_schema.assembly_component_usage_substitute
118,实体定义框,assigned_requirement,赋值要求,requirement_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/requirement_assignment/sys/5_mim.htm#requirement_assignment_mim.assigned_requirement
119,实体定义框,atan_function,反正切函数,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
120,实体定义框,atom_based_literal,原子基于字面量,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
121,实体定义框,attribute_classification_assignment,属性分类赋值,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.attribute_classification_assignment
122,实体定义框,attribute_language_assignment,属性语言赋值,multi_linguism_mim,https://www.steptools.com/stds/smrl/data/modules/multi_linguism/sys/5_mim.htm#multi_linguism_mim.attribute_language_assignment
123,实体定义框,attribute_value_assignment,属性值赋值,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.attribute_value_assignment
124,实体定义框,attribute_value_role,属性值角色,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.attribute_value_role
125,实体定义框,auxiliary_leader_line,辅助指引线线,draughting_element_schema,https://www.steptools.com/stds/smrl/data/resource_docs/draughting/sys/5_schema.htm#draughting_element_schema.auxiliary_leader_line
126,实体定义框,axis1_placement,轴1放置,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.axis1_placement
127,实体定义框,axis2_placement_2d,二维轴2放置,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.axis2_placement_2d
128,实体定义框,axis2_placement_3d,三维轴2放置,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.axis2_placement_3d
129,实体定义框,b_spline_basis,B样条基,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
130,实体定义框,b_spline_curve,B 样条曲线,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.b_spline_curve
131,实体定义框,b_spline_curve_with_knots,带节点的B 样条曲线,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.b_spline_curve_with_knots
132,实体定义框,b_spline_function,B样条函数,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
133,实体定义框,b_spline_surface,B 样条曲面,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.b_spline_surface
134,实体定义框,b_spline_surface_with_knots,带节点的B 样条曲面,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.b_spline_surface_with_knots
135,实体定义框,b_spline_volume,B样条体积,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.b_spline_volume
136,实体定义框,b_spline_volume_with_knots,带节点的B样条体积,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.b_spline_volume_with_knots
137,实体定义框,back_boring_operation,后镗孔操作,aim-back_boring_operation,https://stepmfg.github.io/ap238/data/clause5.htm#aim-back_boring_operation
138,实体定义框,background_colour,背景颜色,presentation_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/4_schema.htm#presentation_organization_schema.background_colour
139,实体定义框,banded_matrix,带状矩阵,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
140,实体定义框,basic_round_hole,基本圆孔,counterbore_countersink_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/4_schema.htm#counterbore_countersink_schema.basic_round_hole
141,实体定义框,basic_round_hole_occurrence,基本圆孔实例,counterbore_countersink_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/4_schema.htm#counterbore_countersink_schema.basic_round_hole_occurrence
142,实体定义框,basic_round_hole_occurrence_in_assembly,装配中的基本圆孔实例,counterbore_countersink_schema,https://www.steptools.com/stds/smrl/data/resource_docs/mechanical_features/sys/4_schema.htm#counterbore_countersink_schema.basic_round_hole_occurrence_in_assembly
143,实体定义框,basic_sparse_matrix,基本稀疏矩阵,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
144,实体定义框,between_shape_aspect,形状要素之间,shape_aspect_definition_schema,https://www.steptools.com/stds/smrl/data/resource_docs/shape_variation_tolerances/sys/4_schema.htm#shape_aspect_definition_schema.between_shape_aspect
145,实体定义框,bezier_curve,贝塞尔曲线,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.bezier_curve
